Country,#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd
Finland,1,Uus Bitch,OLGA,2024-03-21,146,85,67,-4,71,2:12,5,64,6,2689
Finland,2,Heikkouteni (feat. TUULI),Jore & Zpoppa,2024-03-01,140,50,77,-5,76,3:03,50,68,7,2683
Finland,3,Uuteen eiliseen,Mirella,2024-03-14,120,66,65,-4,60,2:45,33,68,1,8042
Finland,4,i like the way you kiss me,Artemas,2024-03-19,152,95,60,-4,75,2:23,0,96,8,6996
Finland,5,Timanttei,Mirella,2024-01-04,130,69,66,-5,49,3:29,31,69,25,3446
Finland,6,Kissa (feat. Averagekidluke),AHTI,2024-03-08,115,75,75,-6,50,2:46,5,66,3,7622
Finland,7,Tunnista tuntiin,Ege Zulu,2024-02-01,120,58,87,-5,83,3:01,42,67,9,6721
Finland,8,Sytkäri (feat. AHTI),TUULI,2024-04-05,142,74,63,-4,39,2:58,15,57,10,6083
Finland,9,Tuhoaisti,KUUMAA,2024-03-21,155,76,65,-5,74,2:59,7,63,0,5469
Finland,10,Elli,Tupe.,2024-03-01,165,77,55,-6,54,2:47,1,65,11,1316
Finland,11,Virheet (feat. Bee),HUGO,2024-03-15,140,57,68,-6,49,2:47,3,64,2,6663
Finland,12,Satama,KUUMAA,2023-11-30,125,63,78,-6,89,2:40,7,64,16,5096
Finland,13,Kauas pois,Gettomasa,2024-03-28,97,80,82,-6,69,2:24,20,61,4,6928
Finland,14,Jos puhutaan totta,ANI,2024-01-26,105,73,74,-6,60,2:54,18,66,12,4461
Finland,15,Kattomatta takas,Cledos,2024-03-08,84,75,57,-7,36,2:30,12,64,13,354
Finland,16,Sua sattuu,Mirella,2023-10-19,122,73,68,-5,36,3:04,7,63,47,9788
Finland,17,Väärään aikaan (feat. HUGO),AHTI,2023-12-08,144,68,71,-5,74,3:03,23,65,44,9944
Finland,18,Kävi mitä kävi sul on mut,VIIVI,2024-03-22,147,71,48,-5,59,3:17,17,61,14,3559
Finland,19,Vaan sä,Blacflaco,2024-02-16,100,59,80,-5,71,2:42,18,64,15,454
Finland,20,Ruoska,Käärijä,2024-02-09,160,92,62,-7,36,3:17,1,66,17,2820
Finland,21,Malaga (feat. KERZA),VJ,2024-03-08,98,64,84,-5,66,3:16,9,61,18,1165
Finland,22,1000km,Joe L,2024-03-15,122,67,80,-6,40,2:38,18,60,19,37
